object_id,objectID,isHighlight,accessionNumber,accessionYear,isPublicDomain,primaryImage,primaryImageSmall,additionalImages,objectName,title,culture,period,dynasty,reign,portfolio,constituents,artistRole,artistPrefix,artistDisplayName,artistDisplayBio,artistSuffix,artistAlphaSort,artistNationality,artistBeginDate,artistEndDate,artistGender,artistWikidata_URL,artistULAN_URL,objectDate,objectBeginDate,objectEndDate,medium,dimensions,measurements,department,classification,creditLine,rightsAndReproduction,geographyType,city,state,county,country,region,subregion,locale,locus,excavation,river,linkResource,objectURL,objectWikidata_URL,metadataDate,repository,tags,isTimelineWork,GalleryNumber,image_downloaded
436446,436446,False,49.58.1,1949,True,https://images.metmuseum.org/CRDImages/ep/original/DT1342.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DT1342.jpg,[],Painting,Two Tahitian Women,,,,,,"[{'constituentID': 161924, 'role': 'Artist', 'name': 'Paul Gauguin', 'constituentULAN_URL': 'http://vocab.getty.edu/page/ulan/500011421', 'constituentWikidata_URL': 'https://www.wikidata.org/wiki/Q37693', 'gender': ''}]",Artist,,Paul Gauguin,"French, Paris 1848–1903 Atuona, Hiva Oa, Marquesas Islands",,"Gauguin, Paul",French,1848.0,1903.0,,https://www.wikidata.org/wiki/Q37693,http://vocab.getty.edu/page/ulan/500011421,1899,1899,1899,Oil on canvas,37 x 28 1/2 in. (94 x 72.4 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 94, 'Width': 72.4}}, {'elementName': 'Framed', 'elementDescription': None, 'elementMeasurements': {'Depth': 9.525, 'Height': 121.9202, 'Width': 101.6002}}]",European Paintings,Paintings,"Gift of William Church Osborn, 1949",,,,,,,,,,,,,,https://www.metmuseum.org/art/collection/search/436446,https://www.wikidata.org/wiki/Q3235403,2025-05-13T08:51:27.153Z,"Metropolitan Museum of Art, New York, NY",['Female Nudes'],True,825.0,True
436448,436448,False,54.143.2,1954,True,https://images.metmuseum.org/CRDImages/ep/original/DP123847.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP123847.jpg,[],Painting,A Farm in Brittany,,,,,,"[{'constituentID': 161924, 'role': 'Artist', 'name': 'Paul Gauguin', 'constituentULAN_URL': 'http://vocab.getty.edu/page/ulan/500011421', 'constituentWikidata_URL': 'https://www.wikidata.org/wiki/Q37693', 'gender': ''}]",Artist,,Paul Gauguin,"French, Paris 1848–1903 Atuona, Hiva Oa, Marquesas Islands",,"Gauguin, Paul",French,1848.0,1903.0,,https://www.wikidata.org/wiki/Q37693,http://vocab.getty.edu/page/ulan/500011421,ca. 1894,1894,1894,Oil on canvas,28 1/2 x 35 5/8 in. (72.4 x 90.5 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 72.4, 'Width': 90.5}}, {'elementName': 'Framed', 'elementDescription': None, 'elementMeasurements': {'Depth': 6.985, 'Height': 94.9327, 'Width': 113.3477}}]",European Paintings,Paintings,"Bequest of Margaret Seligman Lewisohn, in memory of her husband, Sam A. Lewisohn, 1954",,,,,,,,,,,,,,https://www.metmuseum.org/art/collection/search/436448,https://www.wikidata.org/wiki/Q19905040,2025-07-31T04:50:45.81Z,"Metropolitan Museum of Art, New York, NY",['Farms'],False,825.0,True
436449,436449,False,1993.400.3,1993,True,https://images.metmuseum.org/CRDImages/ep/original/DT1952.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DT1952.jpg,[],Painting,The Siesta,,,,,,"[{'constituentID': 161924, 'role': 'Artist', 'name': 'Paul Gauguin', 'constituentULAN_URL': 'http://vocab.getty.edu/page/ulan/500011421', 'constituentWikidata_URL': 'https://www.wikidata.org/wiki/Q37693', 'gender': ''}]",Artist,,Paul Gauguin,"French, Paris 1848–1903 Atuona, Hiva Oa, Marquesas Islands",,"Gauguin, Paul",French,1848.0,1903.0,,https://www.wikidata.org/wiki/Q37693,http://vocab.getty.edu/page/ulan/500011421,ca. 1892–94,1892,1894,Oil on canvas,35 x 45 3/4 in. (88.9 x 116.2 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 88.9, 'Width': 116.2}}]",European Paintings,Paintings,"The Walter H. and Leonore Annenberg Collection, Gift of Walter H. and Leonore Annenberg, 1993, Bequest of Walter H. Annenberg, 2002",,,,,,,,,,,,,,https://www.metmuseum.org/art/collection/search/436449,https://www.wikidata.org/wiki/Q3212828,2025-05-22T04:50:13.743Z,"Metropolitan Museum of Art, New York, NY","['Women', 'Baskets', 'Irons']",True,822.0,True
436450,436450,False,67.187.69,1967,True,https://images.metmuseum.org/CRDImages/ep/original/DT1501.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DT1501.jpg,[],Painting,Still Life,,,,,,"[{'constituentID': 161924, 'role': 'Artist', 'name': 'Style of Paul Gauguin', 'constituentULAN_URL': 'http://vocab.getty.edu/page/ulan/500011421', 'constituentWikidata_URL': 'https://www.wikidata.org/wiki/Q37693', 'gender': ''}]",Artist,Style of,Paul Gauguin,"French, late 19th century",,"Gauguin, Paul",French,1848.0,1903.0,,https://www.wikidata.org/wiki/Q37693,http://vocab.getty.edu/page/ulan/500011421,,1870,1899,Oil on canvas,15 1/8 x 18 1/4 in. (38.4 x 46.4 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 38.4, 'Width': 46.4}}, {'elementName': 'Framed', 'elementDescription': None, 'elementMeasurements': {'Depth': 8.8900175, 'Height': 60.32512, 'Width': 68.89764}}]",European Paintings,Paintings,"Bequest of Miss Adelaide Milton de Groot (1876-1967), 1967",,,,,,,,,,,,,,https://www.metmuseum.org/art/collection/search/436450,https://www.wikidata.org/wiki/Q19912494,2025-01-30T04:54:21.21Z,"Metropolitan Museum of Art, New York, NY","['Fruit', 'Still Life', 'Vases']",False,,True
436451,436451,False,39.182,1939,True,https://images.metmuseum.org/CRDImages/ep/original/DP-14936-043.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-14936-043.jpg,[],Painting,Tahitian Landscape,,,,,,"[{'constituentID': 161924, 'role': 'Artist', 'name': 'Paul Gauguin', 'constituentULAN_URL': 'http://vocab.getty.edu/page/ulan/500011421', 'constituentWikidata_URL': 'https://www.wikidata.org/wiki/Q37693', 'gender': ''}]",Artist,,Paul Gauguin,"French, Paris 1848–1903 Atuona, Hiva Oa, Marquesas Islands",,"Gauguin, Paul",French,1848.0,1903.0,,https://www.wikidata.org/wiki/Q37693,http://vocab.getty.edu/page/ulan/500011421,1892,1892,1892,Oil on canvas,25 3/8 x 18 5/8 in. (64.5 x 47.3 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 64.5, 'Width': 47.3}}, {'elementName': 'Framed', 'elementDescription': None, 'elementMeasurements': {'Depth': 6.35, 'Height': 81.2802, 'Width': 66.0401}}, {'elementName': 'Glazing', 'elementDescription': None, 'elementMeasurements': {'Height': 65.08763, 'Width': 47.942596}}]",European Paintings,Paintings,"Anonymous Gift, 1939",,,,,,,,,,,,,,https://www.metmuseum.org/art/collection/search/436451,https://www.wikidata.org/wiki/Q19905194,2025-09-03T04:50:00.593Z,"Metropolitan Museum of Art, New York, NY","['Men', 'Women', 'Horses', 'Landscapes']",False,825.0,True
436452,436452,False,30.95.262,1930,True,https://images.metmuseum.org/CRDImages/ep/original/DP254091.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP254091.jpg,"['https://images.metmuseum.org/CRDImages/ep/original/sf gentile 1915.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/ep30.95.262.bw.R.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/gentile underdrawing.jpg']",Painting,Madonna and Child with Angels,,,,,,"[{'constituentID': 107690, 'role': 'Artist', 'name': 'Gentile da Fabriano (Gentile di Niccolò di Giovanni di Massio)', 'constituentULAN_URL': 'http://vocab.getty.edu/page/ulan/500017803', 'constituentWikidata_URL': 'https://www.wikidata.org/wiki/Q312393', 'gender': ''}]",Artist,,Gentile da Fabriano (Gentile di Niccolò di Giovanni di Massio),"Italian, Umbrian, active by 1408–died 1427",,Gentile da Fabriano (Gentile di Niccolò di Giovanni di Massio),Italian,1408.0,1427.0,,https://www.wikidata.org/wiki/Q312393,http://vocab.getty.edu/page/ulan/500017803,,1408,1427,"Tempera on wood, traces of gold ground",33 3/4 x 20 in. (85.7 x 50.8 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 85.7, 'Width': 50.8}}, {'elementName': 'Framed', 'elementDescription': None, 'elementMeasurements': {'Depth': 5.08, 'Height': 105.4102, 'Width': 66.6751}}]",European Paintings,Paintings,"Theodore M. Davis Collection, Bequest of Theodore M. Davis, 1915",,,,,,,,,,,,,,https://www.metmuseum.org/art/collection/search/436452,https://www.wikidata.org/wiki/Q1125200,2025-09-24T04:50:58.447Z,"Metropolitan Museum of Art, New York, NY","['Angels', 'Madonna and Child']",False,,True
436453,436453,False,69.281,1969,True,https://images.metmuseum.org/CRDImages/ep/original/DP-20748-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-20748-001.jpg,"['https://images.metmuseum.org/CRDImages/ep/original/Gentileschi Esther x-raynocap.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/LC-69_281-2.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/LC-69_281-3.jpg']",Painting,Esther before Ahasuerus,,,,,,"[{'constituentID': 107691, 'role': 'Artist', 'name': 'Artemisia Gentileschi', 'constituentULAN_URL': 'http://vocab.getty.edu/page/ulan/500011658', 'constituentWikidata_URL': 'https://www.wikidata.org/wiki/Q212657', 'gender': 'Female'}]",Artist,,Artemisia Gentileschi,"Italian, born Rome 1593–died Naples 1654 or later",,"Gentileschi, Artemisia",Italian,1593.0,1654.0,Female,https://www.wikidata.org/wiki/Q212657,http://vocab.getty.edu/page/ulan/500011658,1620s,1620,1629,Oil on canvas,82 in. × 8 ft. 11 3/4 in. (208.3 × 273.7 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 208.3, 'Width': 273.7}}, {'elementName': 'Framed', 'elementDescription': None, 'elementMeasurements': {'Depth': 10.16002, 'Height': 233.04547, 'Width': 299.0856}}, {'elementName': 'Other', 'elementDescription': 'Picture + Frame', 'elementMeasurements': {'Weight': 58.06042}}]",European Paintings,Paintings,"Gift of Elinor Dorrance Ingersoll, 1969",,,,,,,,,,,,,,https://www.metmuseum.org/art/collection/search/436453,https://www.wikidata.org/wiki/Q3733425,2025-05-02T04:50:40.06Z,"Metropolitan Museum of Art, New York, NY","['Men', 'Women', 'Esther', 'Ahasuerus']",True,,True
436454,436454,False,41.17,1941,True,https://images.metmuseum.org/CRDImages/ep/original/DT2006.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DT2006.jpg,['https://images.metmuseum.org/CRDImages/ep/original/Gericault_41_17_IRR_overall2.jpg'],Painting,Alfred Dedreux (1810–1860) as a Child,,,,,,"[{'constituentID': 164229, 'role': 'Artist', 'name': 'Théodore Géricault', 'constituentULAN_URL': 'http://vocab.getty.edu/page/ulan/500115562', 'constituentWikidata_URL': 'https://www.wikidata.org/wiki/Q184212', 'gender': ''}]",Artist,,Théodore Géricault,"French, Rouen 1791–1824 Paris",,"Géricault, Théodore",French,1791.0,1824.0,,https://www.wikidata.org/wiki/Q184212,http://vocab.getty.edu/page/ulan/500115562,ca. 1819–20,1819,1820,Oil on canvas,18 x 15 in. (45.7 x 38.1 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 45.7, 'Width': 38.1}}, {'elementName': 'Framed', 'elementDescription': None, 'elementMeasurements': {'Depth': 6.985, 'Height': 56.5151, 'Width': 48.8951}}]",European Paintings,Paintings,"The Alfred N. Punnett Endowment Fund, 1941",,,,,,,,,,,,,,https://www.metmuseum.org/art/collection/search/436454,https://www.wikidata.org/wiki/Q19905811,2025-10-28T04:53:15.177Z,"Metropolitan Museum of Art, New York, NY","['Boys', 'Portraits']",True,,True
436455,436455,False,1989.183,1989,True,https://images.metmuseum.org/CRDImages/ep/original/DT2138.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DT2138.jpg,[],Painting,Evening: Landscape with an Aqueduct,,,,,,"[{'constituentID': 164229, 'role': 'Artist', 'name': 'Théodore Géricault', 'constituentULAN_URL': 'http://vocab.getty.edu/page/ulan/500115562', 'constituentWikidata_URL': 'https://www.wikidata.org/wiki/Q184212', 'gender': ''}]",Artist,,Théodore Géricault,"French, Rouen 1791–1824 Paris",,"Géricault, Théodore",French,1791.0,1824.0,,https://www.wikidata.org/wiki/Q184212,http://vocab.getty.edu/page/ulan/500115562,1818,1818,1818,Oil on canvas,98 1/2 x 86 1/2 in. (250.2 x 219.7 cm),"[{'elementName': 'Framed', 'elementDescription': None, 'elementMeasurements': {'Depth': 10.16, 'Height': 279.4006, 'Width': 246.3805}}, {'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 250.2, 'Width': 219.7}}]",European Paintings,Paintings,"Purchase, Gift of James A. Moffett 2nd, in memory of George M. Moffett, by exchange, 1989",,,,,,,,,,,,,,https://www.metmuseum.org/art/collection/search/436455,https://www.wikidata.org/wiki/Q19911548,2025-10-28T04:53:15.177Z,"Metropolitan Museum of Art, New York, NY","['Men', 'Rivers', 'Landscapes', 'Evening', 'Aqueducts']",True,802.0,True
436456,436456,False,58.135,1958,True,https://images.metmuseum.org/CRDImages/ep/original/DP-24730-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-24730-001.jpg,[],Painting,An Episode from the Life of Saint Giovanni Gualberto,,,,,,"[{'constituentID': 107693, 'role': 'Artist', 'name': 'Attributed to Niccolò di Pietro Gerini', 'constituentULAN_URL': 'http://vocab.getty.edu/page/ulan/500021490', 'constituentWikidata_URL': 'https://www.wikidata.org/wiki/Q1077403', 'gender': ''}]",Artist,Attributed to,Niccolò di Pietro Gerini,"Italian, Florentine, active by 1368–died 1414/15",,"Gerini, Niccolò di Pietro",Italian,1368.0,1415.0,,https://www.wikidata.org/wiki/Q1077403,http://vocab.getty.edu/page/ulan/500021490,,1368,1415,"Tempera on wood, gold ground","Arched top, 57 3/4 x 28 1/2 in. (146.7 x 72.4 cm)","[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 146.7, 'Width': 72.4}}]",European Paintings,Paintings,"Gwynne Andrews Fund, 1958",,,,,,,,,,,,,,https://www.metmuseum.org/art/collection/search/436456,https://www.wikidata.org/wiki/Q19912338,2025-01-30T04:54:21.21Z,"Metropolitan Museum of Art, New York, NY","['Men', 'Horses', 'Crucifixion', 'Saints']",False,,True
436460,436460,False,26.168.63,1926,True,https://images.metmuseum.org/CRDImages/ep/original/257493.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/257493.jpg,[],"Painting, miniature",Portrait of a Man,,,,,,"[{'constituentID': 127868, 'role': 'Artist', 'name': 'German Painter', 'constituentULAN_URL': '', 'constituentWikidata_URL': '', 'gender': ''}]",Artist,,German Painter,ca. 1790–1800,,German Painter,German,,,,,,,1790,1800,Ivory,"Octagonal, 1 1/8 x 3/4 in. (29 x 19 mm)","[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 2.9, 'Width': 1.9}}]",European Paintings,Miniatures,"Bequest of Collis P. Huntington, 1900",,,,,,,,,,,,,,https://www.metmuseum.org/art/collection/search/436460,https://www.wikidata.org/wiki/Q19913781,2024-10-03T04:53:53.567Z,"Metropolitan Museum of Art, New York, NY","['Boys', 'Girls', 'Men', 'Portraits']",False,,True
436461,436461,False,26.168.64,1926,True,https://images.metmuseum.org/CRDImages/ep/original/257493.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/257493.jpg,[],"Painting, miniature",Portrait of a Woman,,,,,,"[{'constituentID': 127868, 'role': 'Artist', 'name': 'German Painter', 'constituentULAN_URL': '', 'constituentWikidata_URL': '', 'gender': ''}]",Artist,,German Painter,ca. 1790–1800,,German Painter,German,,,,,,,1790,1800,Ivory,"Octagonal, 1 1/8 x 3/4 in. (29 x 19 mm)","[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 2.9, 'Width': 1.9}}]",European Paintings,Miniatures,"Bequest of Collis P. Huntington, 1900",,,,,,,,,,,,,,https://www.metmuseum.org/art/collection/search/436461,https://www.wikidata.org/wiki/Q19913782,2024-10-04T04:54:16Z,"Metropolitan Museum of Art, New York, NY","['Portraits', 'Women']",False,,True
436462,436462,False,26.168.65,1926,True,https://images.metmuseum.org/CRDImages/ep/original/257493.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/257493.jpg,[],"Painting, miniature",Portrait of a Child,,,,,,"[{'constituentID': 127868, 'role': 'Artist', 'name': 'German Painter', 'constituentULAN_URL': '', 'constituentWikidata_URL': '', 'gender': ''}]",Artist,,German Painter,ca. 1790–1800,,German Painter,German,,,,,,,1790,1800,Ivory,"Octagonal, 1 1/8 x 3/4 in. (29 x 19 mm)","[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 2.9, 'Width': 1.9}}]",European Paintings,Miniatures,"Bequest of Collis P. Huntington, 1900",,,,,,,,,,,,,,https://www.metmuseum.org/art/collection/search/436462,https://www.wikidata.org/wiki/Q19913783,2024-10-04T04:54:16Z,"Metropolitan Museum of Art, New York, NY","['Children', 'Portraits']",False,,True
436463,436463,False,26.168.66,1926,True,https://images.metmuseum.org/CRDImages/ep/original/257493.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/257493.jpg,[],"Painting, miniature",Portrait of a Child,,,,,,"[{'constituentID': 127868, 'role': 'Artist', 'name': 'German Painter', 'constituentULAN_URL': '', 'constituentWikidata_URL': '', 'gender': ''}]",Artist,,German Painter,ca. 1790–1800,,German Painter,German,,,,,,,1790,1800,Ivory,"Octagonal, 1 1/8 x 3/4 in. (29 x 19 mm)","[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 2.9, 'Width': 1.9}}]",European Paintings,Miniatures,"Bequest of Collis P. Huntington, 1900",,,,,,,,,,,,,,https://www.metmuseum.org/art/collection/search/436463,https://www.wikidata.org/wiki/Q19913785,2024-10-04T04:54:16Z,"Metropolitan Museum of Art, New York, NY","['Girls', 'Portraits']",False,,True
436464,436464,False,26.168.67,1926,True,https://images.metmuseum.org/CRDImages/ep/original/257481.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/257481.jpg,[],"Painting, miniature",Portrait of a Man,,,,,,"[{'constituentID': 127868, 'role': 'Artist', 'name': 'German Painter', 'constituentULAN_URL': '', 'constituentWikidata_URL': '', 'gender': ''}]",Artist,,German Painter,ca. 1790–1800,,German Painter,German,,,,,,,1790,1800,Ivory,"Octagonal, 1 1/8 x 3/4 in. (29 x 19 mm)","[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 2.9, 'Width': 1.9}}]",European Paintings,Miniatures,"Bequest of Collis P. Huntington, 1900",,,,,,,,,,,,,,https://www.metmuseum.org/art/collection/search/436464,https://www.wikidata.org/wiki/Q19913787,2024-10-04T04:54:16Z,"Metropolitan Museum of Art, New York, NY","['Girls', 'Portraits', 'Women']",False,,True
436465,436465,False,26.168.68,1926,True,https://images.metmuseum.org/CRDImages/ep/original/257481.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/257481.jpg,[],"Painting, miniature",Caroline Maria Therese of Parma (1770–1804),,,,,,"[{'constituentID': 127868, 'role': 'Artist', 'name': 'German Painter', 'constituentULAN_URL': '', 'constituentWikidata_URL': '', 'gender': ''}]",Artist,,German Painter,ca. 1790–1800,,German Painter,German,,,,,,,1790,1800,Ivory,"Octagonal, 1 1/8 x 3/4 in. (29 x 19 mm)","[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 2.9, 'Width': 1.9}}]",European Paintings,Miniatures,"Bequest of Collis P. Huntington, 1900",,,,,,,,,,,,,,https://www.metmuseum.org/art/collection/search/436465,https://www.wikidata.org/wiki/Q19913790,2024-10-04T04:54:16Z,"Metropolitan Museum of Art, New York, NY","['Boys', 'Girls', 'Men', 'Portraits', 'Women']",False,,True
436466,436466,False,26.168.69,1926,True,https://images.metmuseum.org/CRDImages/ep/original/257481.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/257481.jpg,[],"Painting, miniature",Portrait of a Child,,,,,,"[{'constituentID': 127868, 'role': 'Artist', 'name': 'German Painter', 'constituentULAN_URL': '', 'constituentWikidata_URL': '', 'gender': ''}]",Artist,,German Painter,ca. 1790–1800,,German Painter,German,,,,,,,1790,1800,Ivory,"Octagonal, 1 1/8 x 3/4 in. (29 x 19 mm)","[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 2.9, 'Width': 1.9}}]",European Paintings,Miniatures,"Bequest of Collis P. Huntington, 1900",,,,,,,,,,,,,,https://www.metmuseum.org/art/collection/search/436466,https://www.wikidata.org/wiki/Q19913793,2024-10-04T04:54:16Z,"Metropolitan Museum of Art, New York, NY","['Children', 'Portraits']",False,,True
436467,436467,False,26.168.70,1926,True,https://images.metmuseum.org/CRDImages/ep/original/257481.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/257481.jpg,[],"Painting, miniature",Portrait of a Child,,,,,,"[{'constituentID': 127868, 'role': 'Artist', 'name': 'German Painter', 'constituentULAN_URL': '', 'constituentWikidata_URL': '', 'gender': ''}]",Artist,,German Painter,ca. 1790–1800,,German Painter,German,,,,,,,1790,1800,Ivory,"Octagonal, 1 1/8 x 3/4 in. (29 x 19 mm)","[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 2.9, 'Width': 1.9}}]",European Paintings,Miniatures,"Bequest of Collis P. Huntington, 1900",,,,,,,,,,,,,,https://www.metmuseum.org/art/collection/search/436467,https://www.wikidata.org/wiki/Q19913796,2024-10-04T04:54:16Z,"Metropolitan Museum of Art, New York, NY","['Children', 'Portraits']",False,,True
436469,436469,False,62.122.129,1962,True,https://images.metmuseum.org/CRDImages/ep/original/175456.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/175456.jpg,[],"Painting, miniature",Portrait of a Woman,,,,,,"[{'constituentID': 127868, 'role': 'Artist', 'name': 'German Painter', 'constituentULAN_URL': '', 'constituentWikidata_URL': '', 'gender': ''}]",Artist,,German Painter,ca. 1810,,German Painter,German,,,,,,,1805,1815,Ivory,"Oval, 2 1/4 x 1 7/8 in. (59 x 49 mm)","[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 5.7, 'Width': 4.8}}]",European Paintings,Miniatures,"Bequest of Millie Bruhl Fredrick, 1962",,,,,,,,,,,,,,https://www.metmuseum.org/art/collection/search/436469,https://www.wikidata.org/wiki/Q19914085,2024-10-03T04:53:53.567Z,"Metropolitan Museum of Art, New York, NY","['Portraits', 'Women']",False,,True
436470,436470,False,62.122.118,1962,True,https://images.metmuseum.org/CRDImages/ep/original/175445.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/175445.jpg,[],"Painting, miniature",Portrait of a Man,,,,,,"[{'constituentID': 127868, 'role': 'Artist', 'name': 'German Painter', 'constituentULAN_URL': '', 'constituentWikidata_URL': '', 'gender': ''}]",Artist,,German Painter,ca. 1810,,German Painter,German,,,,,,,1805,1815,Ivory,"Oval, 2 1/4 x 1 7/8 in. (59 x 49 mm)","[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 5.7, 'Width': 4.8}}]",European Paintings,Miniatures,"Bequest of Millie Bruhl Fredrick, 1962",,,,,,,,,,,,,,https://www.metmuseum.org/art/collection/search/436470,https://www.wikidata.org/wiki/Q19914087,2024-10-03T04:53:53.567Z,"Metropolitan Museum of Art, New York, NY","['Men', 'Portraits']",False,,True
436471,436471,False,15.43.307,1915,True,https://images.metmuseum.org/CRDImages/ep/original/259953.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/259953.jpg,[],"Painting, miniature","Portrait of a Man, Said to Be Alexander von Humboldt (1769–1859)",,,,,,"[{'constituentID': 127868, 'role': 'Artist', 'name': 'German Painter', 'constituentULAN_URL': '', 'constituentWikidata_URL': '', 'gender': ''}]",Artist,,German Painter,ca. 1815,,German Painter,German,,,,,,,1810,1820,Ivory,"Oval, 2 1/2 x 2 in. (64 x 52 mm)","[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 6.3, 'Width': 5.1}}]",European Paintings,Miniatures,"Bequest of Mary Anna Palmer Draper, 1914",,,,,,,,,,,,,,https://www.metmuseum.org/art/collection/search/436471,https://www.wikidata.org/wiki/Q19914088,2024-10-03T04:53:53.567Z,"Metropolitan Museum of Art, New York, NY","['Men', 'Portraits']",False,,True
